i,b,m
0,0,0
1,12.266666666666667,12.4
2,28.833333333333332,27.0
3,42.4,41.6
4,64.83333333333333,65.0
5,83.83333333333333,82.0
6,102.43333333333334,104.4
7,118.9,120.6
8,133.33333333333334,133.0
9,147.66666666666666,146.0
10,165.6,163.4
11,185.43333333333334,182.4
12,206.76666666666668,205.4
13,223.3,222.2
14,237.0,238.0
15,250.03333333333333,253.8
16,258.3,263.2
17,277.23333333333335,283.6
18,291.5,298.0
19,310.5,316.0
20,331.6666666666667,336.0
21,348.3666666666667,348.8
22,364.5,367.0
23,380.96666666666664,383.2
24,398.76666666666665,401.4
25,417.1,420.4
26,434.2,440.8
27,447.8333333333333,456.0
28,462.6666666666667,471.0
29,476.1333333333333,483.2
30,488.56666666666666,496.6
