i,b,m
0,0,0
1,9.066666666666665,8.773333333333333
2,18.782222222222224,16.066666666666666
3,29.12888888888889,23.37333333333333
4,38.666666666666664,30.080000000000002
5,48.44888888888889,37.373333333333335
6,59.03333333333334,45.25333333333334
7,68.57777777777777,52.14666666666666
8,78.86222222222223,59.64
9,87.89555555555557,66.42666666666666
10,98.76666666666668,74.33333333333334
11,108.62666666666668,81.78666666666666
12,119.21333333333334,89.29333333333334
13,129.16,96.33333333333333
14,138.9688888888889,102.38666666666667
15,148.48444444444445,109.32
16,159.10666666666668,116.88000000000002
17,168.85333333333332,123.53333333333335
18,179.09333333333333,130.38666666666666
19,188.59555555555556,137.0
20,198.74444444444447,143.66666666666666
21,208.14000000000001,149.88
22,218.78222222222226,156.70666666666665
23,228.85555555555553,163.18666666666667
24,239.8711111111111,170.18666666666664
25,249.9066666666667,177.18666666666664
26,260.16,184.67999999999998
27,270.34888888888884,190.82666666666668
28,280.58888888888885,198.0533333333333
29,290.09777777777776,204.38666666666668
30,300.4933333333333,210.5333333333333
