i,b,m
0,0,0
1,2.088,2.2666666666666666
2,4.250666666666666,3.1599999999999997
3,6.318666666666666,3.586666666666667
4,8.262666666666668,4.066666666666666
5,10.42933333333333,4.293333333333334
6,12.662666666666668,4.546666666666667
7,14.837333333333332,4.72
8,17.28666666666667,4.986666666666666
9,19.233333333333338,5.133333333333334
10,21.661333333333335,5.293333333333334
11,23.924,5.466666666666667
12,26.157333333333334,5.626666666666667
13,28.357333333333333,5.813333333333334
14,30.447999999999997,5.8933333333333335
15,32.970666666666666,5.933333333333334
16,35.20399999999999,6.093333333333334
17,37.43866666666666,6.16
18,39.50933333333334,6.200000000000001
19,41.79866666666666,6.24
20,43.908,6.280000000000001
21,46.07733333333333,6.333333333333334
22,48.37599999999999,6.3866666666666685
23,50.652,6.466666666666668
24,52.81733333333334,6.6
25,55.11733333333333,6.666666666666667
26,57.205333333333336,6.76
27,59.36533333333333,6.84
28,61.436,6.946666666666667
29,63.65333333333333,7.0
30,65.85199999999999,7.08
