i,b,m
0,0,0
1,10.938666666666666,11.986666666666666
2,20.846666666666668,20.853333333333335
3,30.80133333333333,29.013333333333332
4,41.34133333333334,37.49333333333333
5,51.971999999999994,46.906666666666666
6,61.98800000000001,55.54666666666666
7,72.48533333333334,64.33333333333333
8,82.308,72.10666666666665
9,93.03333333333333,80.57333333333332
10,104.61466666666665,89.42666666666668
11,114.796,97.87999999999998
12,125.31599999999999,105.72000000000001
13,136.25466666666665,114.21333333333332
14,146.45333333333335,122.16
15,156.8493333333333,130.01333333333332
16,167.54,138.22666666666666
17,178.02933333333334,146.35999999999999
18,188.66,154.41333333333333
19,198.92799999999997,162.33333333333334
20,209.27333333333337,169.90666666666664
21,219.50533333333334,177.3066666666667
22,229.17999999999998,184.85333333333335
23,239.95199999999997,193.81333333333333
24,250.73333333333332,201.90666666666667
25,261.5253333333333,210.13333333333333
26,270.87333333333333,217.1333333333333
27,281.25333333333333,224.9466666666667
28,292.3266666666667,232.55999999999997
29,302.8386666666666,240.69333333333333
30,312.9426666666667,248.3466666666667
