i,b,m
0,0,0
1,5.873333333333333,5.706666666666667
2,12.150666666666668,10.253333333333332
3,18.133333333333333,14.373333333333335
4,24.05333333333333,18.653333333333332
5,30.404000000000003,22.546666666666667
6,36.83733333333334,26.506666666666664
7,43.19466666666666,30.040000000000003
8,49.713333333333345,33.50666666666667
9,56.112,36.99999999999999
10,62.83066666666665,40.306666666666686
11,69.22133333333335,43.493333333333325
12,75.87733333333333,46.32
13,81.99199999999999,49.10666666666667
14,88.60133333333332,51.98666666666667
15,94.46266666666666,54.46666666666666
16,101.412,57.466666666666676
17,107.59866666666667,60.173333333333325
18,113.92,62.70666666666666
19,119.71200000000002,65.34666666666666
20,126.55733333333333,68.38666666666667
21,132.976,71.18666666666665
22,139.192,73.70666666666668
23,145.584,76.2
24,151.56933333333333,78.49333333333334
25,157.80266666666662,81.22666666666667
26,163.91466666666665,83.30666666666666
27,170.56666666666666,86.4
28,177.08133333333328,88.87999999999998
29,183.37866666666667,91.49333333333334
30,189.44533333333337,93.68
