i,b,m
0,0,0
1,6.376,5.959999999999999
2,12.732,10.626666666666667
3,19.269333333333336,15.226666666666665
4,25.114666666666665,18.720000000000002
5,31.12933333333333,22.293333333333337
6,37.653333333333336,25.706666666666667
7,43.368,29.066666666666666
8,49.303999999999995,32.62666666666666
9,56.032000000000004,36.46666666666667
10,61.987999999999985,39.58666666666667
11,68.18666666666667,42.90666666666666
12,74.13466666666666,45.86666666666667
13,80.39733333333332,49.066666666666656
14,86.396,51.92
15,92.728,54.879999999999995
16,99.66000000000001,58.080000000000005
17,105.472,60.773333333333326
18,112.14000000000001,63.56000000000001
19,117.78666666666668,66.37333333333335
20,123.964,69.61333333333333
21,129.98533333333333,72.37333333333332
22,136.14933333333335,75.38666666666667
23,142.91866666666667,78.42666666666668
24,149.4226666666667,81.22666666666666
25,155.44666666666666,83.61333333333333
26,161.94266666666664,85.89333333333335
27,167.94,88.55999999999999
28,174.31599999999997,91.53333333333335
29,180.74400000000003,94.34666666666665
30,187.552,97.44
