i,b,m
0,0,0
1,9.673333333333334,9.506666666666666
2,19.266666666666662,17.34666666666667
3,28.75111111111112,24.586666666666666
4,38.95111111111112,32.42666666666666
5,48.95555555555556,39.45333333333334
6,58.726666666666674,45.38666666666667
7,68.9,52.30666666666668
8,78.1511111111111,58.026666666666664
9,88.94666666666664,64.88000000000001
10,99.0,71.64
11,109.52666666666667,78.18666666666667
12,119.64222222222222,84.29333333333334
13,129.1177777777778,89.94666666666666
14,138.95777777777778,95.41333333333334
15,150.14666666666668,101.78666666666666
16,159.82666666666668,107.14666666666669
17,170.48222222222222,112.54666666666667
18,180.98666666666668,118.53333333333335
19,190.6933333333333,123.96000000000002
20,200.76666666666662,129.44
21,210.42444444444442,134.16
22,220.57111111111115,140.04
23,230.1955555555556,144.82666666666668
24,240.2133333333333,150.04
25,249.81111111111116,154.81333333333333
26,260.6000000000001,160.13333333333335
27,271.0111111111112,165.81333333333333
28,280.54,170.70666666666665
29,290.6066666666666,175.8
30,300.7777777777777,180.92
31,311.49111111111114,185.86666666666665
32,321.9533333333333,190.61333333333332
33,331.6555555555555,195.1866666666667
34,341.77111111111117,199.99999999999997
35,350.77555555555557,204.48
36,361.00222222222226,209.13333333333333
37,371.58666666666676,213.70666666666668
38,381.5733333333334,218.89333333333332
39,392.00222222222226,223.69333333333333
40,401.34,227.99999999999997
41,410.9288888888888,232.52
42,421.1044444444444,237.4
43,430.6555555555555,242.14666666666668
44,441.76222222222225,247.62666666666664
45,452.37999999999994,252.82666666666668
46,462.98222222222233,257.5733333333333
47,473.9911111111111,262.85333333333335
48,484.20888888888896,267.81333333333333
49,493.8622222222222,272.0133333333334
50,504.08888888888885,276.73333333333335
51,514.8711111111111,281.88000000000005
52,524.6333333333333,286.1066666666666
53,534.311111111111,290.46666666666664
54,545.4511111111111,295.64
55,556.4555555555555,300.5733333333334
56,566.348888888889,305.37333333333333
57,576.3911111111112,309.76
58,586.668888888889,314.41333333333324
59,597.6688888888889,319.4266666666666
60,608.6311111111111,324.1466666666666
61,618.3333333333334,328.61333333333334
62,629.3466666666668,333.2266666666667
63,639.5244444444444,337.32
64,649.7177777777778,341.6666666666667
65,659.5733333333333,345.8266666666666
66,670.2622222222222,350.00000000000006
67,680.94,354.73333333333335
68,691.5422222222221,359.00000000000006
69,701.9911111111111,364.0133333333333
70,712.668888888889,368.9733333333333
71,723.0200000000001,373.19999999999993
72,734.12,377.44
73,744.2222222222223,381.9066666666667
74,754.2377777777779,386.4133333333333
75,764.8022222222222,390.92
76,774.3844444444444,394.7466666666667
77,784.8244444444445,399.03999999999996
78,794.3666666666666,403.4800000000001
79,804.5888888888888,407.2533333333333
80,814.4355555555555,411.26666666666665
81,826.0066666666665,416.00000000000006
82,836.5177777777776,420.46666666666675
83,847.3466666666665,424.90666666666664
84,858.1466666666666,429.2
85,868.3333333333334,433.4800000000001
86,878.5044444444443,437.68
87,889.2777777777778,442.06666666666666
88,899.4022222222223,445.73333333333335
89,910.0155555555555,450.28
90,920.7355555555555,454.71999999999997
91,930.8933333333333,459.2
92,941.9111111111112,463.6
93,952.102222222222,467.4666666666666
94,961.1577777777778,471.28000000000003
95,970.1977777777777,474.88
96,979.7711111111112,478.93333333333334
97,989.9266666666666,482.61333333333334
98,1000.5288888888889,486.66666666666674
99,1010.668888888889,490.4133333333333
100,1021.8355555555556,494.94666666666666
