i,b,m
0,0,0
1,10.120000000000001,8.893333333333334
2,19.826666666666664,25.226666666666663
3,29.758666666666674,43.080000000000005
4,38.230666666666664,60.86666666666667
5,48.232,83.82666666666668
6,57.02400000000001,105.17333333333335
7,64.61866666666667,126.26666666666668
8,73.01466666666666,149.11999999999998
9,81.30266666666665,174.09333333333333
10,89.19733333333333,199.53333333333336
11,97.89066666666666,225.99999999999997
12,106.83066666666666,254.46666666666667
13,114.29466666666664,280.3066666666667
14,122.136,310.84000000000003
15,130.4906666666667,340.38666666666666
16,138.8093333333333,369.5333333333334
17,146.85466666666665,396.6266666666667
18,155.99200000000002,431.14666666666665
19,164.6946666666667,462.0933333333333
20,173.476,496.94666666666666
21,181.4453333333333,529.4666666666667
22,188.91733333333332,559.3600000000001
23,196.66800000000003,588.0666666666667
24,205.03466666666662,619.2533333333334
25,212.79733333333334,653.3066666666667
26,220.844,685.1066666666666
27,228.98933333333332,718.1866666666666
28,236.52266666666665,748.7733333333334
29,244.71866666666665,783.3066666666668
30,251.83066666666664,810.2266666666667
