i,b,m
0,0,0
1,6.616000000000001,5.4399999999999995
2,12.949333333333334,8.866666666666665
3,19.240000000000002,12.319999999999999
4,25.535999999999998,15.919999999999998
5,31.839999999999993,20.226666666666667
6,38.00533333333333,24.32
7,44.23733333333333,28.266666666666666
8,50.37466666666666,31.973333333333333
9,56.87866666666667,35.92
10,63.042666666666655,40.24
11,69.81733333333332,44.53333333333333
12,75.60533333333333,48.026666666666664
13,81.83600000000001,53.0
14,88.21866666666666,58.306666666666665
15,94.72533333333335,62.89333333333333
16,101.26133333333333,67.21333333333334
17,106.86266666666667,71.21333333333335
18,113.23200000000001,75.58666666666667
19,119.62933333333334,80.33333333333334
20,125.47466666666669,84.28000000000002
21,131.99999999999997,89.53333333333332
22,138.89333333333332,93.98666666666668
23,145.71599999999998,99.52000000000001
24,152.16266666666667,103.48
25,158.51333333333335,107.38666666666668
26,164.50266666666664,111.57333333333334
27,171.1053333333333,116.81333333333335
28,177.00133333333332,121.88000000000001
29,183.38666666666666,126.08000000000001
30,189.2866666666667,130.97333333333333
