i,b,m
0,0,0
1,5.495999999999999,4.920000000000001
2,11.593333333333334,13.520000000000001
3,17.594666666666665,23.92
4,23.156,34.986666666666665
5,28.830666666666666,46.78666666666666
6,34.66400000000001,62.013333333333335
7,39.97200000000001,76.25333333333333
8,45.61733333333333,91.08
9,50.562666666666665,105.70666666666666
10,56.087999999999994,124.10666666666667
11,61.25333333333332,139.82666666666665
12,66.628,156.70666666666665
13,71.32666666666665,172.51999999999998
14,76.53466666666667,189.56
15,81.68666666666667,207.09333333333333
16,87.34666666666666,226.3866666666667
17,92.2773333333333,243.52000000000004
18,96.97066666666666,260.08
19,102.15733333333334,278.4800000000001
20,107.10666666666664,296.61333333333334
21,111.956,313.74666666666667
22,116.816,332.9066666666667
23,121.57199999999999,350.85333333333335
24,126.16000000000001,368.1333333333334
25,130.70399999999998,386.90666666666664
26,135.33866666666665,405.15999999999997
27,139.81066666666666,423.74666666666667
28,144.34,442.05333333333334
29,149.18666666666667,460.66666666666663
30,153.9213333333333,478.94666666666666
