i,b,m
0,0,0
1,8.844444444444443,8.933333333333335
2,16.43111111111111,22.720000000000006
3,24.368888888888883,40.05333333333333
4,31.42,58.90666666666666
5,38.713333333333324,78.64000000000001
6,45.99777777777778,101.88000000000001
7,52.93333333333333,122.02666666666667
8,60.17111111111113,146.02666666666667
9,67.29777777777778,168.76000000000002
10,74.48,194.10666666666665
11,81.48666666666665,217.75999999999996
12,87.7111111111111,239.1866666666667
13,94.35777777777777,262.38666666666666
14,100.50444444444446,282.96
15,107.0688888888889,308.26666666666665
16,114.25333333333333,333.38666666666666
17,120.77333333333333,357.36
18,127.73111111111113,384.5866666666667
19,134.79333333333332,408.4266666666667
20,142.14888888888888,433.7200000000001
21,148.85777777777776,457.96
22,155.3111111111111,481.77333333333337
23,162.14444444444445,506.84000000000003
24,168.55777777777777,531.6266666666667
25,174.89333333333335,555.3733333333333
26,181.26666666666668,578.7866666666665
27,187.49999999999997,600.16
28,194.14444444444442,623.4666666666667
29,200.73333333333332,647.1733333333335
30,206.77777777777777,670.0799999999998
