i,b,m
0,0,0
1,9.905333333333333,10.066666666666666
2,19.48,18.78666666666667
3,29.532,28.32
4,40.51733333333333,37.813333333333325
5,49.824,46.70666666666666
6,59.544000000000004,54.8
7,68.90666666666668,62.98666666666667
8,79.81733333333334,72.45333333333332
9,90.13066666666667,80.17333333333335
10,99.34133333333334,87.54666666666667
11,108.86666666666666,94.22666666666669
12,118.39999999999999,102.18666666666667
13,129.27733333333333,109.78666666666666
14,139.23466666666667,117.66666666666667
15,149.54266666666666,125.33333333333331
16,160.25333333333336,132.94666666666666
17,171.57866666666666,141.88
18,181.98266666666666,149.37333333333336
19,191.85199999999998,156.93333333333337
20,202.24000000000004,165.28000000000003
21,212.156,172.90666666666667
22,222.91333333333333,179.96
23,233.068,187.48000000000002
24,243.8426666666667,195.61333333333334
25,254.93599999999995,204.34666666666666
26,265.536,212.60000000000002
27,275.2146666666667,220.25333333333327
28,285.78,227.94666666666666
29,296.0373333333334,235.20000000000007
30,306.3266666666667,243.06666666666666
