i,b,m
0,0,0
1,10.53777777777778,11.013333333333332
2,20.73111111111111,18.986666666666668
3,30.72888888888889,24.93333333333333
4,40.61555555555556,30.4
5,52.43999999999999,36.21333333333334
6,63.63777777777778,40.93333333333333
7,75.12444444444445,45.626666666666665
8,85.95777777777776,49.89333333333333
9,97.17555555555555,53.70666666666666
10,107.45555555555555,57.18666666666666
11,117.48,60.440000000000005
12,127.96888888888888,63.43999999999999
13,140.43555555555557,67.01333333333334
14,150.73333333333332,70.01333333333332
15,161.70888888888888,73.08
16,172.88888888888886,76.83999999999999
17,184.59111111111113,80.06666666666666
18,194.7288888888889,82.85333333333332
19,206.67999999999995,86.11999999999998
20,217.10444444444445,88.96000000000001
21,227.6733333333333,91.85333333333334
22,238.86222222222221,94.50666666666666
23,249.25555555555562,97.35999999999999
24,260.4266666666667,100.24000000000002
25,271.2688888888889,102.94666666666669
26,281.7288888888889,105.81333333333333
27,292.68666666666667,108.37333333333335
28,303.96666666666675,111.4
29,315.6977777777777,114.32
30,326.8822222222222,116.97333333333334
